DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,
2019/06/18 01:07:58,6/18/19,1:07:58,0.08,32.169,0.17,130.216,0.33,8.2,1.6,-0.2v,AMAKUSA REGION  A,
2019/06/18 01:08:37,6/18/19,1:08:37,0.15,32.086,0.35,130.044,0.67,10,2.4,0.2V,W OFF AMAKUSA ISLAND  A,
2019/06/18 01:08:48,6/18/19,1:08:48,0.14,35.813,0.39,140.986,0.66,28.1,0.9,0.8V,NEAR CHOSHI CITY  A,
2019/06/18 01:09:37,6/18/19,1:09:37,0.11,36.564,0.19,141.089,0.51,16.1,1.9,1.2V,E OFF IBARAKI PREF  A,
2019/06/18 01:10:00,6/18/19,1:10:00,0.07,24.864,0.39,142.023,0.31,23,,,IOTO ISLANDS REGION  s,
2019/06/18 01:10:16,6/18/19,1:10:16,0.03,32.705,0.09,130.61,0.19,9,0.7,0.3V,NW KUMAMOTO PREF  A,
2019/06/18 01:10:52,6/18/19,1:10:52,0.05,32.469,0.18,130.575,0.19,6.5,1.6,-0.1V,SOUTHERN KUMAMOTO PREF  A,
2019/06/18 01:14:06,6/18/19,1:14:06,0.23,40.133,0.75,143.037,0.7,20.6,2.9,,NE OFF IWATE PREF  s,
2019/06/18 01:14:13,6/18/19,1:14:13,0.11,35.728,0.23,140.797,0.41,13.1,0.8,0.8V,NEAR CHOSHI CITY  A,
2019/06/18 01:16:17,6/18/19,1:16:17,0.1,34.089,0.27,135.526,0.36,57.4,0.8,0.7V,NE WAKAYAMA PREF  A,
2019/06/18 01:16:57,6/18/19,1:16:57,0.43,35.051,0.22,137.496,0.29,32.2,2.1,-0.1v,NE AICHI PREF  A,
2019/06/18 01:17:34,6/18/19,1:17:34,0.05,32.057,0.15,130.999,0.18,13,0.8,0.7V,SOUTHERN MIYAZAKI PREF  A,
2019/06/18 01:19:50,6/18/19,1:19:50,0.1,35.088,0.54,137.431,0.92,33.6,,-0.3v,NE AICHI PREF  A,
2019/06/18 01:22:36,6/18/19,1:22:36,0.03,32.646,0.13,130.672,0.17,6.3,0.9,0.9V,SOUTHERN KUMAMOTO PREF  A,
2019/06/18 01:24:37,6/18/19,1:24:37,0.08,30.358,0.39,130.815,0.37,6.6,1.4,0.0v,NEAR TANEGASHIMA ISLAND,k
2019/06/18 01:26:25,6/18/19,1:26:25,0.37,24.957,2.89,122.416,1.23,48,,1.7v,NW OFF ISHIGAKIJIMA IS  k,
2019/06/18 01:28:11,6/18/19,1:28:11,,35.06,,137.435,,36.6,,-0.7v,NE AICHI PREF  A,
2019/06/18 01:31:49,6/18/19,1:31:49,0.06,39.594,0.16,140.459,0.21,14.8,0.7,1.1V,SOUTHERN AKITA PREF  A,
2019/06/18 01:31:55,6/18/19,1:31:55,0.07,35.018,0.24,135.163,0.19,12.9,0.8,0.6V,SE HYOGO PREF  A,
2019/06/18 01:35:22,6/18/19,1:35:22,0.13,36.1,0.41,139.873,0.47,69.2,1,0.9V,SW IBARAKI PREF  A,
2019/06/18 01:36:17,6/18/19,1:36:17,0.09,28.409,0.31,129.1,0.89,63.9,1,0.3v,NEAR AMAMI-OSHIMA ISLAND,A
2019/06/18 01:36:34,6/18/19,1:36:34,0.17,35.75,0.36,138.24,0.41,11.6,1.4,-0.3v,AKAISHI MOUNTAINS REG  a,
2019/06/18 01:38:02,6/18/19,1:38:02,0.08,34.752,0.26,135.975,0.23,9.2,1.4,-0.1v,KYOTO OSAKA BORDER REG  A,
2019/06/18 01:38:44,6/18/19,1:38:44,0.15,35.379,0.58,136.961,0.57,6.1,2.4,0.5v,SE GIFU PREF  a,
2019/06/18 01:39:26,6/18/19,1:39:26,0.09,32.279,0.3,132.214,0.27,14.9,2.4,0.8V,HYUGANADA REGION  A,
2019/06/18 01:41:43,6/18/19,1:41:43,0.17,43.566,2.78,146.435,1.94,99,,1.6v,NEAR KUNASHIRI ISLAND  A,
2019/06/18 01:43:41,6/18/19,1:43:41,0.14,23.784,0.65,122.902,0.5,51,,2.5V,NEAR ISHIGAKIJIMA ISLAND,K
2019/06/18 01:44:14,6/18/19,1:44:14,0.19,36.984,0.62,139.417,1.19,2.3,4.7,-0.2V,WESTERN FUKUSHIMA PREF  a,
2019/06/18 01:44:52,6/18/19,1:44:52,0.21,38.864,0.55,142.409,1.09,35.7,3.3,1.3V,E OFF MIYAGI PREF  A,
2019/06/18 01:49:06,6/18/19,1:49:06,0.18,23.783,0.78,122.91,0.6,47,,1.9V,NEAR ISHIGAKIJIMA ISLAND,K
2019/06/18 01:50:03,6/18/19,1:50:03,0.35,35.063,0.16,137.415,0.23,32.3,1.7,-0.2v,NE AICHI PREF  A,
