DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,,,,,,,,,,,
2019-06-18 01:44:00,6/18/19,1:44:52,0.108,38.856,0.6,142.4458,0.6,29.5,0.7,1.6,,6/19/19 8:34,6/19/19,34:10.1,0.048,38.6536,0.3,139.4905,0.3,11.3,0.5,1.8
2019-06-18 01:55:00,6/18/19,1:55:02,0.066,38.44,0.4,141.8986,0.8,52.9,0.6,1.6,,6/19/19 8:45,6/19/19,45:19.5,0.041,38.6204,0.2,139.4014,0.2,11.4,0.6,2.1
2019-06-18 01:56:00,6/18/19,1:56:03,0.061,35.2297,0.3,139.0226,0.4,3,0.8,0.2,,6/19/19 8:55,6/19/19,55:00.0,0.027,35.5619,0.2,136.1287,0.1,9,0.5,1.1
2019-06-18 01:56:00,6/18/19,1:56:19,0.032,33.7133,0.2,130.2199,0.2,11.6,0.4,0.3,,6/19/19 8:55,6/19/19,55:28.9,0.112,38.6444,0.6,139.4662,0.7,12.4,0.9,1.4
2019-06-18 01:57:00,6/18/19,1:57:02,0.029,35.2368,0.2,139.0212,0.2,3.1,0.3,0,,6/19/19 8:57,6/19/19,57:57.9,0.182,38.5735,1.1,139.4036,0.7,11.2,1.9,1
2019-06-18 01:58:00,6/18/19,1:58:46,0.051,33.0154,0.2,131.1692,0.2,8.5,0.7,0.1,,6/19/19 9:00,6/19/19,00:18.0,0.053,36.7998,0.3,140.5894,0.5,7.7,0.6,0.7
2019-06-18 02:00:00,6/18/19,2:00:33,0.12,35.5611,0.7,136.3915,0.6,14.6,1.4,0.6,,6/19/19 9:00,6/19/19,00:39.5,0.045,38.6158,0.3,139.3931,0.3,10.6,0.6,1.9
2019-06-18 02:07:00,6/18/19,2:07:40,0.187,35.7753,0.6,140.8867,1.1,12.2,1.2,1.2,,6/19/19 9:01,6/19/19,01:27.5,0.039,36.4115,0.2,139.1673,0.3,13.3,0.8,1.4
2019-06-18 02:16:00,6/18/19,2:16:46,0.052,32.6378,0.5,132.2622,0.2,27.4,0.9,1.4,,6/19/19 9:02,6/19/19,02:01.6,0.142,37.0801,0.8,140.8023,1.4,0.8,3.3,0.6
2019-06-18 02:20:00,6/18/19,2:20:28,0.013,38.9804,0.1,140.8932,0.1,7.5,0.3,2.8,,6/19/19 9:04,6/19/19,04:27.8,0.033,38.633,0.2,139.4432,0.2,10.7,0.5,1.8
2019-06-18 02:21:00,6/18/19,2:21:20,0.149,35.9828,1.2,140.0442,1.3,60.3,1.1,1,,6/19/19 9:07,6/19/19,07:29.5,0.068,38.6142,0.5,139.4326,0.3,9.9,0.7,1.5
2019-06-18 02:22:00,6/18/19,2:22:40,0.077,37.2369,0.4,140.4456,0.6,83.8,0.6,1.8,,6/19/19 9:09,6/19/19,09:42.6,0.051,38.587,0.3,139.4143,0.2,11.1,0.6,2.4
2019-06-18 02:28:00,6/18/19,2:28:30,0.048,34.7958,0.3,137.8277,0.2,17.9,0.5,0.8,,6/19/19 9:11,6/19/19,11:11.8,0.075,38.6003,0.5,139.3809,0.4,10.8,0.7,1.9
2019-06-18 02:28:00,6/18/19,2:28:44,0.055,34.7592,0.4,137.5242,0.3,31.1,0.5,0.9,,6/19/19 9:20,6/19/19,20:11.0,0.046,36.2821,0.3,139.9237,0.2,67.6,0.4,1.6
2019-06-18 02:37:00,6/18/19,2:37:45,0.072,37.2108,0.3,141.2004,0.6,28.3,0.5,1.9,,6/19/19 9:21,6/19/19,21:42.4,0.043,38.6422,0.3,139.4307,0.3,9.9,0.7,1.8
2019-06-18 02:39:00,6/18/19,2:39:20,0.022,35.2248,0.1,136.4616,0.1,16.3,0.3,1.2,,6/19/19 9:23,6/19/19,23:19.0,0.045,38.6549,0.3,139.4617,0.3,11.4,0.8,1.6
2019-06-18 02:40:00,6/18/19,2:40:18,0.341,35.6135,1.7,140.416,2.1,52.5,2.8,1.2,,6/19/19 9:31,6/19/19,31:09.0,0.024,36.7133,0.1,140.6099,0.2,7.3,0.3,1.8
2019-06-18 02:48:00,6/18/19,2:48:52,0.049,34.914,0.2,137.781,0.2,22.3,0.5,1.1,,6/19/19 9:33,6/19/19,33:08.3,0.281,38.576,1.3,139.4328,1.5,12.1,1.9,1.1
2019-06-18 02:56:00,6/18/19,2:56:07,0.059,32.0129,0.3,129.7267,0.5,10.6,1.6,1.5,,6/19/19 9:35,6/19/19,35:57.4,0.254,35.7335,0.7,140.8743,1.5,10.8,1.3,1.5
2019-06-18 03:17:00,6/18/19,3:17:42,0.023,37.0573,0.2,140.4447,0.2,9.3,0.7,1.6,,6/19/19 9:36,6/19/19,36:04.9,0.1,35.882,0.7,137.7361,0.6,5.5,2,0.2
2019-06-18 03:40:00,6/18/19,3:40:11,0.255,44.0481,1.4,141.7669,1.6,6.6,2.5,0.8,,6/19/19 9:38,6/19/19,38:27.9,0.213,36.5991,0.7,141.4778,1.3,20.5,1.5,2
2019-06-18 03:43:00,6/18/19,3:43:03,0.051,32.941,0.5,131.0307,0.3,6.3,0.7,0.1,,6/19/19 9:50,6/19/19,50:23.8,0.046,38.5714,0.3,139.3936,0.2,11.9,0.5,2.3
2019-06-18 03:46:00,6/18/19,3:46:20,0.027,32.6322,0.2,130.6876,0.2,5.8,0.7,1.1,,6/19/19 9:50,6/19/19,50:41.2,0.153,38.6149,0.7,139.4841,0.5,12.4,1.2,1.9
2019-06-18 03:57:00,6/18/19,3:57:20,0.09,36.0915,0.5,139.7936,0.4,47,0.7,1.3,,6/19/19 9:50,6/19/19,50:55.1,0.049,38.6461,0.3,139.4696,0.3,12.6,0.7,2.1
2019-06-18 04:03:00,6/18/19,4:03:59,0.061,37.0606,0.4,141.5824,0.8,63.7,1,2.3,,6/19/19 9:52,6/19/19,52:36.7,0.111,38.6504,0.7,139.4565,0.7,11.5,1.3,1.3
2019-06-18 04:04:00,6/18/19,4:04:57,0.09,36.9455,0.6,138.5835,0.5,6.7,1.1,0.7,,6/19/19 9:53,6/19/19,53:43.8,0.118,38.6553,0.6,139.506,0.8,12.5,1,1.5
2019-06-18 04:06:00,6/18/19,4:06:29,0.026,35.9873,0.3,139.9536,0.2,44.9,0.2,0.9,,6/19/19 9:54,6/19/19,54:44.8,0.033,33.8857,0.2,135.3304,0.2,11.8,0.4,1
2019-06-18 04:14:00,6/18/19,4:14:12,0.118,31.1295,0.6,130.4291,0.8,124.3,1,2.3,,6/19/19 9:56,6/19/19,56:01.4,0.06,38.6887,0.3,139.5107,0.5,11.5,0.8,1.6
2019-06-18 04:19:00,6/18/19,4:19:34,0.116,32.6312,1.3,132.2607,0.3,30.8,1.1,0.9,,6/19/19 9:56,6/19/19,56:52.2,0.05,38.6287,0.3,139.4539,0.2,12.2,0.7,1.9
2019-06-18 04:26:00,6/18/19,4:26:32,0.058,37.0171,0.3,141.38,0.6,38.5,1,2.6,,6/19/19 9:57,6/19/19,57:43.7,0.039,38.6022,0.3,139.3807,0.2,12.4,0.5,2.2
2019-06-18 04:29:00,6/18/19,4:29:14,0.034,35.6133,0.2,136.4929,0.2,13.3,0.4,0.7,,6/19/19 9:59,6/19/19,59:22.2,0.058,38.6238,0.4,139.4487,0.3,12,0.8,1.4
2019-06-18 04:33:00,6/18/19,4:33:05,0.038,33.9386,0.3,135.163,0.2,7.2,0.4,0.9,,6/19/19 9:59,6/19/19,59:32.5,0.084,38.6712,0.5,139.5799,0.4,13.2,0.7,1.6
2019-06-18 04:33:00,6/18/19,4:33:34,0.085,33.5055,0.6,132.3947,0.5,46.1,0.7,0.9,,6/19/19 9:59,6/19/19,59:45.6,0.14,38.8389,0.8,141.0936,0.7,15.1,1.9,1.1
2019-06-18 04:36:00,6/18/19,4:36:40,0.172,35.8063,0.9,140.9504,1.1,28,0.9,1,,6/19/19 10:06,6/19/19,06:18.8,0.047,38.6562,0.3,139.4915,0.3,11.9,0.8,2.8
2019-06-18 04:48:00,6/18/19,4:48:57,0.374,42.3592,2.3,142.6213,1.4,18.3,4,0.8,,6/19/19 10:07,6/19/19,07:10.6,0.14,34.4239,0.6,136.2106,0.5,26.5,1.3,0.7
2019-06-18 05:12:00,6/18/19,5:12:18,0.012,35.0919,0.1,135.6947,0.1,11.3,0.2,1.6,,6/19/19 10:14,6/19/19,14:52.3,0.122,38.5722,0.7,139.4079,0.6,11.2,1.4,1.7
2019-06-18 05:19:00,6/18/19,5:19:19,0.052,35.8699,0.2,137.3142,0.2,11.3,0.6,0,,6/19/19 10:17,6/19/19,17:58.3,0.111,38.663,0.6,139.442,0.5,12.3,1,1.4
2019-06-18 05:23:00,6/18/19,5:23:02,0.064,35.425,0.4,136.8396,0.3,19.2,0.6,0.5,,6/19/19 10:18,6/19/19,18:23.2,0.04,40.367,0.3,140.5664,0.3,6.4,1,0.8
2019-06-18 05:28:00,6/18/19,5:28:47,0.412,37.8509,1.5,142.3514,2.1,10.3,3.8,1.9,,6/19/19 10:19,6/19/19,19:05.8,0.09,38.5647,0.6,139.3982,0.4,10.2,0.9,1.5
2019-06-18 05:33:00,6/18/19,5:33:16,0.021,33.8481,0.1,134.9204,0.1,20.2,0.3,2.6,,6/19/19 10:20,6/19/19,20:46.4,0.079,38.6693,0.4,139.4762,0.5,11.5,0.8,1.6
2019-06-18 05:33:00,6/18/19,5:33:48,0.09,35.6169,0.4,140.1598,0.5,69.5,0.8,2.1,,6/19/19 10:23,6/19/19,23:03.0,0.156,38.6457,0.9,139.4673,0.9,13.2,1.2,1.2
2019-06-18 05:42:00,6/18/19,5:42:26,0.114,32.8033,0.7,130.801,0.7,9.9,1.6,0.1,,6/19/19 10:23,6/19/19,23:44.5,0.097,38.6819,0.5,139.4964,0.7,11.6,1.1,1.3
2019-06-18 05:42:00,6/18/19,5:42:35,0.034,35.8866,0.3,137.6183,0.2,7.8,0.8,0.7,,6/19/19 10:26,6/19/19,26:37.4,0.065,38.6285,0.4,139.4286,0.3,11.4,0.7,1.6
2019-06-18 05:43:00,6/18/19,5:43:35,0.09,32.9723,0.4,130.5348,0.6,9.6,0.8,0.3,,6/19/19 10:28,6/19/19,28:54.5,0.038,38.6393,0.3,139.4672,0.2,12.1,0.5,1.9
2019-06-18 05:43:00,6/18/19,5:43:36,0.214,42.8585,2.2,143.9881,1.5,107.1,1.8,2,,6/19/19 10:34,6/19/19,34:09.6,0.333,34.0502,2.4,135.3608,2.3,6.5,6.2,0.8
2019-06-18 05:50:00,6/18/19,5:50:07,0.054,33.4687,0.3,132.6526,0.3,40.9,0.5,0.9,,6/19/19 10:35,6/19/19,35:24.7,0.066,33.0022,0.4,131.0986,0.4,9.5,1,1
2019-06-18 05:53:00,6/18/19,5:53:04,0.241,35.8912,0.9,140.2343,0.8,38.6,2,0.9,,6/19/19 10:38,6/19/19,38:18.1,0.026,35.7111,0.1,138.141,0.1,19.3,0.4,1.6
2019-06-18 06:00:00,6/18/19,6:00:08,0.204,28.2478,1.5,140.2941,4.8,379.6,3.2,4.9,,6/19/19 10:40,6/19/19,40:01.2,0.112,35.7093,0.4,138.1421,0.5,18.7,1.2,0.6
2019-06-18 06:01:00,6/18/19,6:01:02,0.051,34.2455,0.2,139.1553,0.3,9.4,0.4,2.1,,6/19/19 10:41,6/19/19,41:40.1,0.322,38.5525,1.7,139.8238,1.9,10.2,5.2,1.3
